bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
int ncurses_noqiflush ();シグナル文字のフラッシュを無効とする
bool ncurses_noraw ();端末をrawモード以外に変更する
int ncurses_putp ( string text );
int ncurses_qiflush ();シグナル文字のフラッシュを有効とする
bool ncurses_raw ();端末をrawモードに変更する
int ncurses_refresh ( int ch );画面をリフレッシュする
bool ncurses_resetty ();保存した端末モードに復帰する
bool ncurses_savetty ();端末の状態を保存する
int ncurses_scr_dump ( string filename );画面の内容をファイルにダンプする
int ncurses_scr_init ( string filename );ファイルダンプから画面を初期化する
int ncurses_scr_restore ( string filename );ファイルダンプから画面を復帰する
int ncurses_scr_set ( string filename );ファイルダンプから画面を継承する
int ncurses_scrl ( int count );カレント位置を変更せずに画面の内容をスクロールアップまたはダウンする
bool ncurses_slk_attr ();カレントのソフトラベルキー属性を返す
int ncurses_slk_attroff ( int intarg );
int ncurses_slk_attron ( int intarg );
int ncurses_slk_attrset ( int intarg );
bool ncurses_slk_clear ();画面からソフトラベルをクリアする
int ncurses_slk_color ( int intarg );ソフトラベルキーの色を設定する
bool ncurses_slk_init ( int format );ソフトラベルキー関数を初期化する
bool ncurses_slk_noutrefresh ();仮想画面にソフトラベルキーをコピーする
bool ncurses_slk_refresh ();ソフトラベルキーを画面にコピーする
bool ncurses_slk_restore ();ソフトラベルキーを復帰する
bool ncurses_slk_touch ();ncurses_slk_noutrefreshを実行する際に強制的に出力する
int ncurses_standend ();'standout'属性の使用を停止する
int ncurses_standout ();'standout'属性の使用を開始する
int ncurses_start_color ();色の使用を開始する
bool ncurses_termattrs ();端末でサポートされる全ての属性フラグの論理和を返す
string ncurses_termname ();端末の(簡略)-名を返す
void ncurses_timeout ( int millisec );特別なキーシーケンスのタイムアウトを設定する
int ncurses_typeahead ( int fd );typeahead確認用に別のファイル記述子を指定する
int ncurses_ungetch ( int keycode );入力ストリームに1文字戻す
bool ncurses_ungetmouse ( array mevent );マウスイベントをキーにプッシュする
bool ncurses_use_default_colors ();端末のデフォルト色をカラーID -1に割り付ける
void ncurses_use_env ( bool flag );端末の大きさに関する環境情報の使用を制御する
int ncurses_use_extended_names ( bool flag );terminfo記述において拡張名の使用を制御する
int ncurses_vidattr ( int intarg );
int ncurses_vline ( int charattr , int n );カレント位置に最大n文字の属性付きの文字を用いて垂直線を描画する
int ncurses_wrefresh ( resource window );端末画面のウインドウをリフレッシュする
int checkdnsrr ( string host , [ string type ] );指定したインターネットホスト名もしくはIPアドレスに対応するDNSレコードを検索する
int closelog ();システムログへの接続を閉じる
int debugger_off ();PHPの内部デバッガを無効にする(PHP 3)
int debugger_on ( string address );PHPの内部デバッガを有効にする
void define_syslog_variables ();syslogに関係する全ての定数を初期化する
int dns_check_record ( string host , [ string type ] );checkdnsrrと同義
int dns_get_mx ( string hostname , array mxhosts , [ array &weight ] );getmxrrと同義
resource fsockopen ( string target , int port , [ int &errno ] , [ string &errstr ] , [ float timeout ] );インターネットもしくはUNIXドメインのソケット接続をオープンする
string gethostbyaddr ( string ip_address );指定したIPアドレスに対応するインターネットホスト名を取得する
string gethostbyname ( string hostname );インターネットホスト名に対応するIPアドレスを取得する
array gethostbynamel ( string hostname );指定したインターネットホスト名に対応するIPアドレスのリストを取得する。
int getmxrr ( string hostname , array mxhosts , [ array weight ] );指定したインターネットホスト名に対応するMXレコードを取得する
int getprotobyname ( string name );プロトコル名のプロトコル番号を得る
string getprotobynumber ( int number );プロトコル番号が指すプロトコル名を得る
int getservbyname ( string service , string protocol );インターネットサービスおよびプロトコルが関連するポート番号を得る
string getservbyport ( int port , string protocol );ポートおよびプロトコルに対応するインターネットサービスを得る
int ip2long ( string ip_address );(IPv4) インターネットプロトコルドット表記のアドレスを適当なアドレスを有する文字列に変換する
string long2ip ( int proper_address );(IPv4) インターネットアドレスをインターネット標準ドット表記に変換します。
int openlog ( string ident , int option , int facility );システムログへの接続をオープンする
int pfsockopen ( string hostname , int port , [ int errno ] , [ string errstr ] , [ int timeout ] );持続的なInternetまたはUnixドメインソケット接続をオープンする
array socket_get_status ( resource socket_get_status );既存のソケットリソースに関する情報を返す
int socket_set_blocking ( int socket descriptor , int mode );ソケットにおけるブロック非ブロックモードの設定
bool socket_set_timeout ( int socket descriptor , int seconds , int microseconds );ソケットのタイムアウト時間を設定する
int syslog ( int priority , string message );システムログのメッセージを生成する
void yp_all ( string domain , string map , string callback );マップを走査し、各エントリの関数をコールする
array yp_cat ( string domain , string map );エントリマップを含む配列を返す
string yp_err_string ();前の操作に関するエラー文字列を返す
int yp_errno ();前の操作のエラーコードを返す
array yp_first ( string domain , string map );指定したマップから最初のキー/値の組を返す
int yp_get_default_domain ();デフォルト NIS ドメインを取得する
string yp_master ( string domain , string map );指定したマップのマスターNISサーバーのマシン名を返す
string yp_match ( string domain , string map , string key );検索した行を返す
array yp_next ( string domain , string map , string key );マップ map から次のキー/値の組を返す
int yp_order ( string domain , string map );マップの呼出番号を返す
array notes_body ( string server , string mailbox , int msg_number );指定したサーバにある指定したメールボックスのメッセージmeg_numberをオープンする
string notes_copy_db ( string from_database_name , string to_database_name );フォームform_nameを用いてノートを作成する
bool notes_create_db ( string database_name );ロータスノーツデータベースを作成する
string notes_create_note ( string database_name , string form_name );フォームform_nameを用いてノートを作成する
bool notes_drop_db ( string database_name );ロータスノーツデータベースを破棄する
bool notes_find_note ( string database_name , string name , [ string type ] );database_nameにあるノートIDを返す。ノートの名前を指定する。typeは省略可
object notes_header_info ( string server , string mailbox , int msg_number );指定したサーバ上の指定したメールボックスにあるメッセージmsg_numberをオープンする
bool notes_list_msgs ( string db );選択したdatabase_nameからノートを返す
string notes_mark_read ( string database_name , string user_name , string note_id );ユーザuser_name用にnote_idに既読マークを付ける
string notes_mark_unread ( string database_name , string user_name , string note_id );ユーザuser_name用にnote_idに未読マークを付ける
bool notes_nav_create ( string database_name , string name );database_nameにナビゲータ名を作成する
string notes_search ( string database_name , string keywords );database_nameのキーワードにマッチするノーツを見つける
string notes_unread ( string database_name , string user_name );カレントユーザuser_nameに関して未読のノートIDを返す
string notes_version ( string database_name );ロータスノーツのバージョンを取得する
array nsapi_request_headers ();HTTPリクエストヘッダを全て取得する
array nsapi_response_headers ();HTTPレスポンスヘッダを全て取得する
int nsapi_virtual ( string uri );NSAPI サブリクエストを発行する
void aggregate ( object object , string class_name );メソッドおよびプロパティの動的なクラス/オブジェクト集約を行う
bool oci_bind_by_name ( resource stmt , string ph_name , mixed variable , [ int maxlength ] , [ int type ] );Oracle プレースホルダーに PHP 変数をバインドする
bool oci_cancel ( resource stmt );カーソルからの読み込みをキャンセルする
bool oci_close ( resource connection );Oracleとの接続を閉じる
bool OCI-Collection->append ( mixed value );コレクションにオブジェクトを追加する
bool OCI-Collection->assign ( OCI-Collection from );他の存在するコレクションからコレクションを割り当てる
bool OCI-Collection->assignElem ( int index , mixed value );コレクションの要素に値を割り当てる
mixed OCI-Collection->getElem ( int index );要素の値を返す
bool OCI-Collection->free ();コレクションオブジェクトに関連付けられたリソースを解放する
int OCI-Collection->max ();コレクション内の要素の最大数を取得する
int OCI-Collection->size ();コレクションのサイズを返す
bool OCI-Collection->trim ( int num );コレクションの最後から要素を切り取る
bool oci_commit ( resource connection );未解決の文をコミットする
resource oci_connect ( string username , string password , [ string db ] , [ string charset ] );Oracle サーバへの接続を確立する
bool oci_define_by_name ( resource statement , string column_name , mixed variable , [ int type ] );SELECT 実行中、定義用の PHP 変数を使用する
array oci_error ( [ resource source ] );最後に見つかったエラーを返す
bool oci_execute ( resource stmt , [ int mode ] );文を実行する
int oci_fetch_all ( resource statement , array output , [ int skip ] , [ int maxrows ] , [ int flags ] );結果データの全ての行を配列に取得する
array oci_fetch_array ( resource statement , [ int mode ] );結果データ空の次の行を連想配列または配列、またはその両方で返す
array oci_fetch_assoc ( resource statement );結果データの次の行を連想配列で返す
object oci_fetch_object ( resource statement );結果の次の行をオブジェクトとして返す
array oci_fetch_row ( resource statement );結果データの次の行を配列で返す
bool oci_fetch ( resource statement );結果バッファーの次の行を取得する
bool oci_field_is_null ( resource stmt , mixed field );フィールドが NULL であるかどうかを確認する
string oci_field_name ( resource statement , int field );文からのフィールド名を返す
int oci_field_precision ( resource statement , int field );フィールドの精度を問い合わせる
int oci_field_scale ( resource statement , int field );フィールドの桁数を問い合わせる
int oci_field_size ( resource stmt , mixed field );フィールドサイズを返す
int oci_field_type_raw ( resource statement , int field );Oracle におけるフィールドの型を問い合わせる
mixed oci_field_type ( resource stmt , int field );フィールドのデータ型を返す
bool descriptor->free ();ディスクリプタに関連付けられたリソースを解放する
bool oci_free_statement ( resource statement );文やカーソルに関連付けられた全てのリソースを解放する
void oci_internal_debug ( int onoff );内部デバッグ用出力有効または無効にする
bool lob->append ( OCI-Lob lob_from );ラージオブジェクトを他のラージオブジェクトにデータを追加する
bool lob->close ();LOB ディスクリプタを閉じる
bool oci_lob_copy ( OCI-Lob lob_to , OCI-Lob lob_from , [ int length ] );ラージオブジェクトをコピーする
bool lob->eof ();ラージオブジェクトのディスクリプタが EOF かどうかを調べる
int lob->erase ( [ int offset ] , [ int length ] );内部 LOB データの特定の位置を消去する
bool lob->export ( string filename , [ int start ] , [ int length ] );LOB の内容をファイルに出力する
bool lob->flush ( [ int flag ] );LOB のバッファをサーバにフラッシュする、あるいは書き込む
bool lob->import ( string filename );ファイルデータを LOB にインポートする
bool oci_lob_is_equal ( OCI-Lob lob1 , OCI-Lob lob2 );2 つの LOB/FILE ロケータの等価性を比較する
string lob->load ();ラージオブジェクトの内容を返す
string lob->read ( int length );ラージオブジェクトの一部を読み込む
bool lob->rewind ();内部ポインタをラージオブジェクトの先頭に移動する
bool lob->save ( string data , [ int offset ] );データをラージオブジェクトに書き込む
bool lob->seek ( int offset , [ int whence ] );ラージオブジェクトの内部ポインタをセットする
int lob->size ();ラージオブジェクトのサイズを返す
int lob->tell ();ラージオブジェクトの内部ポインタの現在位置を返す
bool lob->truncate ( [ int length ] );ラージオブジェクトを切りつめる
bool lob->writeTemporary ( string data , [ int lob_type ] );一時的なラージオブジェクトを書き込む
int lob->write ( string data , [ int length ] );データをラージオブジェクトに書き込む
OCI-Collection oci_new_collection ( resource connection , string tdo , [ string schema ] );新しいコレクションオブジェクトを割り当てる
resource oci_new_connect ( string username , string password , [ string db ] , [ string charset ] );Oracle サーバへの新規接続を確立する
resource oci_new_cursor ( resource connection );新規カーソル (ステートメントハンドル) を割り当て返す
OCI-Lob oci_new_descriptor ( resource connection , [ int type ] );空の新規 LOB あるいは FILE ディスクリプタを初期化する
int oci_num_fields ( resource statement );ある文における結果のカラム数を返す
int oci_num_rows ( resource stmt );文の実行で作用された行数を取得する
resource oci_parse ( resource connection , string query );実行のために Oracle の文をパースする
bool oci_password_change ( resource connection , string username , string old_password , string new_password );Oracle ユーザーのパスワードを変更する
resource oci_pconnect ( string username , string password , [ string db ] , [ string charset ] );持続的接続を使用してOracle データベースに接続する
mixed oci_result ( resource statement , mixed field );フェッチした行からフィールドの値を取得する
bool oci_rollback ( resource connection );未解決のトランザクションをロールバックする
string oci_server_version ( resource connection );サーバのバージョンを返す
bool oci_set_prefetch ( resource statement , [ int rows ] );プリフェッチする行数を設定する
string oci_statement_type ( resource statement );OCI ステートメントの種類を返す
bool ocibindbyname ( resource stmt , string ph_name , mixed variable , [ int maxlength ] , [ int type ] );Oracle プレースホルダーに PHP 変数をバインドする
bool ocicancel ( resource stmt );カーソルからの読み込みをキャンセルする
bool ocicloselob ();lob ディスクリプタを閉じる
bool ocicollappend ( string value );コレクションにオブジェクトを追加する
bool ocicollassign ( OCI-Collection from );他の存在するコレクションからコレクションを割り当てる
bool ocicollassignelem ( int ndx , string val );要素値をコレクションのインデックス ndx に割り当てる
string ocicollgetelem ( int ndx );コレクションのインデックス ndx にある値を取得する
int ocicollmax ();コレクションにある要素の最大数を取得する
int ocicollsize ();コレクションのサイズを返す
bool ocicolltrim ( int num );コレクションの最後から num 個の要素を切り取る
bool ocicolumnisnull ( resource stmt , mixed col );結果カラムが NULL であるかどうかを確認する
string ocicolumnname ( resource stmt , int col );カラムの名前を返す
int ocicolumnprecision ( resource stmt , int col );カラムの精度を問い合わせる
int ocicolumnscale ( resource stmt , int col );カラムの桁数を問い合わせる
int ocicolumnsize ( resource stmt , mixed column );結果カラムサイズを返す
mixed ocicolumntype ( resource stmt , int col );カラムのデータ型を返す
int ocicolumntyperaw ( resource stmt , int col );Oracle におけるカラムの型を問い合わせる
bool ocicommit ( resource connection );未解決のトランザクションをコミットする
bool ocidefinebyname ( resource stmt , string column_name , mixed variable , [ int type ] );SELECT 実行中、定義用の PHP 変数を使用する
array ocierror ( [ resource stmt_or_conn_or_global ] );stmt|conn|globalに関する直近のエラーを返す
bool ociexecute ( resource stmt , [ int mode ] );文を実行する
bool ocifetch ( resource stmt );結果バッファーの次の行を取得する
int ocifetchinto ( resource statement , array result , [ int mode ] );結果配列の次の行を取得する
int ocifetchstatement ( resource stmt , array output , [ int skip ] , [ int maxrows ] , [ int flags ] );結果データの全ての行を配列に取得する
bool ocifreecollection ();コレクションオブジェクトを削除する
bool ocifreecursor ( resource stmt );カーソルに関連づけられた全リソースを解放する
bool ocifreedesc ();ラージオブジェクト記述子を削除する
bool ocifreestatement ( resource stmt );ある文に関連する全リソースを解放する
bool lob->getBuffering ();ラージオブジェクトの現在のバッファリング設定を返す
void ociinternaldebug ( int onoff );内部デバッグ用出力有効または無効にする。デフォルトでは無効
string ociloadlob ();ラージオブジェクトをロードする
bool ocilogoff ( resource connection );Oracleとの接続を閉じる
resource ocilogon ( string username , string password , [ string db ] , [ string charset ] );Oracle への接続を確立する
OCI-Collection ocinewcollection ( resource connection , string tdo , [ string schema ] );新しいコレクションを初期化する
resource ocinewcursor ( resource conn );新規カーソル(命令ハンドル)を返す
OCI-Lob ocinewdescriptor ( resource connection , [ int type ] );空の新規ディスクリプタLOB/FILE(LOBがデフォルト)を初期化する
resource ocinlogon ( string username , string password , [ string db ] , [ string charset ] );Oracle データベースに接続し、新規接続にログオン、新規セッションを返す
int ocinumcols ( resource stmt );ある文における結果のカラム数を返す
resource ociparse ( resource conn , string query );クエリーをパースし、Oracle ステートメントを返す
resource ociplogon ( string username , string password , [ string db ] , [ string charset ] );持続的接続を使用してOracle データベースに接続する
mixed ociresult ( resource statement , mixed col );取得された行におけるカラムの値を得る
bool ocirollback ( resource connection );未解決のトランザクションをロールバックする
int ocirowcount ( resource stmt );作用された行の数を得る
bool ocisavelob ();ラージオブジェクトを保存する
bool ocisavelobfile ();ラージオブジェクトファイルを保存する
string ociserverversion ( resource conn );サーバーのバージョン情報を有する文字列を返す
bool lob->setBuffering ( bool on_off );ラージオブジェクトのための現在のバッファリング設定を変更する
bool ocisetprefetch ( resource stmt , int rows );事前取得するレコード数を設定
string ocistatementtype ( resource stmt );OCI ステートメントの種類を返す
bool ociwritelobtofile ( [ string filename ] , [ int start ] , [ int length ] );ラージオブジェクトファイルを保存する
bool ociwritetemporarylob ( string var , [ int lob_type ] );一時的な blob を書き込む
bool openssl_csr_export_to_file ( resource csr , string outfilename , [ bool notext ] );CSRをファイルまたは変数にエキスポートする
bool openssl_csr_export ( resource csr , string out , [ bool notext ] );CSRをファイルまたは変数にエキスポートする
bool openssl_csr_new ( array dn , resource privkey , [ array extraattribs ] , [ array configargs ] );秘密キーとCSRを生成する
resource openssl_csr_sign ( mixed csr , mixed x509 , mixed priv_key , long days );他のCERTで証明書をサインする
mixed openssl_error_string ();OpenSSL エラーメッセージを返す
void openssl_free_key ( resource key_identifier );キーリソースを開放する
resource openssl_get_privatekey ( mixed key , string [passphrase] );PEMフォーマットされた秘密キーを使用可能とする
resource openssl_get_publickey ( mixed certificate );証明書(certificate)から公開キーを展開し、使用可能とする
bool openssl_open ( string sealed_data , string open_data , string env_key , mixed priv_key_id );シール(暗号化)されたデータをオープン(復号)する
bool openssl_pkcs7_decrypt ( string infilename , string outfilename , mixed recipcert , mixed recipkey );S/MIME 暗号化されたメッセージを復号化する
bool openssl_pkcs7_encrypt ( string infilename , string outfilename , mixed recipcerts , array headers , [ long flags ] );S/MIME メッセージを暗号化する
bool openssl_pkcs7_sign ( string infilename , string outfilename , mixed signcert , mixed privkey , array headers , [ long flags ] , [ string extracertsfilename ] );S/MIME メッセージにサインする
bool openssl_pkcs7_verify ( string filename , int flags , [ string outfilename ] , [ array cainfo ] , [ string extracerts ] );S/MIMEサインされたメッセージのサインを確認する
bool openssl_pkey_export_to_file ( mixed key , string outfilename , [ string passphrase ] , [ array config_args ] );キーのエキスポート可能な表現をファイルに取得する
bool openssl_pkey_export ( mixed key , mixed out , [ string passphrase ] , [ array config_args ] );あるキーのエクスポート可能な表現を文字列またはファイルに取得する
resource openssl_pkey_new ( [ array configargs ] );新規に秘密キーを生成する
bool openssl_private_decrypt ( string data , string crypted , mixed key , [ int padding ] );秘密キーでデータを復号化する
bool openssl_private_encrypt ( string data , string crypted , mixed key , [ int padding ] );秘密キーでデータを暗号化する
bool openssl_public_decrypt ( string data , string crypted , resource key , [ int padding ] );公開キーでデータを復号化する
bool openssl_public_encrypt ( string data , string crypted , mixed key , [ int padding ] );公開キーでデータを暗号化する
int openssl_seal ( string data , string sealed_data , array env_keys , array pub_key_ids );データをシール(暗号化)する
bool openssl_sign ( string data , string signature , int priv_key_id );署名を生成する
int openssl_verify ( string data , string signature , mixed pub_key_id );署名を認証する
bool openssl_x509_check_private_key ( mixed cert , mixed key );秘密キーがあるCERTに対応するかを確認する
bool openssl_x509_checkpurpose ( mixed x509cert , int purpose , array cainfo , [ string untrustedfile ] );証明書が特定の目的に使用可能かどうか確認します。
bool openssl_x509_export_to_file ( mixed x509 , string outfilename , [ bool notext ] );CERTをファイルまたは変数にエキスポートする
bool openssl_x509_export ( mixed x509 , string outfilename , [ bool notext ] );CERTをファイルまたは変数をエキスポートする
void openssl_x509_free ( resource x509cert );証明書リソースを開放する
array openssl_x509_parse ( mixed x509cert , [ bool shortnames ] );Parse an X509 証明書をパースし、配列として情報を返す
resource openssl_x509_read ( mixed x509certdata );Parse an X.509 証明書をパースし、リソースIDを返す
bool ora_bind ( resource cursor , string PHP_variable_name , string SQL_parameter_name , int length , [ int type ] );PHP 変数を Oracle パラメータにバインドする
bool ora_close ( resource cursor );Oracleカーソルをクローズする
string ora_columnname ( resource cursor , int column );Oracle結果カラムの名前を取得する
int ora_columnsize ( resource cursor , int column );Oracle の結果カラムのサイズを返す
string ora_columntype ( resource cursor , int column );Oracleのカラムの型を取得する
bool ora_commit ( resource conn );Oracle トランザクションをコミットする
bool ora_commitoff ( resource conn );オートコミットをオフにする
bool ora_commiton ( resource conn );オートコミットを有効にする
resource ora_do ( resource conn , string query );パース、実行、フェッチを行う
string ora_error ( [ resource cursor_or_connection ] );Oracleエラーメッセージの取得
int ora_errorcode ( [ resource cursor_or_connection ] );Oracle エラーコードを取得する
bool ora_exec ( resource cursor );Oracleカーソル上でのパースしたステートメントの実行
int ora_fetch_into ( resource cursor , array result , [ int flags ] );指定した配列resultにレコードを取得する
bool ora_fetch ( resource cursor );カーソルから 1 行分のデータを取得
mixed ora_getcolumn ( resource cursor , int column );取得した行からデータを得る
bool ora_logoff ( resource connection );Oracle 接続を閉じる
resource ora_logon ( string user , string password );Oracle接続をオープンする
int ora_numcols ( resource cursor );カラム数を返す
int ora_numrows ( resource cursor );レコード数を返す
resource ora_open ( resource connection );Oracleカーソルをオープンする
bool ora_parse ( resource cursor , string sql_statement , [ int defer ] );Oracle の SQL ステートメントをパースする
resource ora_plogon ( string user , string password );持続的な Oracle接続をオープンする
bool ora_rollback ( resource connection );トランザクションをロールバックする
void flush ();出力バッファをフラッシュする
void ob_clean ();出力バッファをクリア(消去)する
bool ob_end_clean ();出力用バッファをクリア(消去)し、出力のバッファリングをオフにする
bool ob_end_flush ();出力用バッファをフラッシュ(送信)し、出力のバッファリングをオフにする
void ob_flush ();出力バッファをフラッシュ(送信)する
string ob_get_contents ();出力用バッファの内容を返す
int ob_get_length ();出力バッファの長さを返す
int ob_get_level ();出力バッファリング機構のネストレベルを返す
array ob_get_status ( [ bool full_status ] );Get status of output buffers出力バッファのステータスを取得する
string ob_gzhandler ( string buffer , [ int mode ] );出力バッファをgzip圧縮するためのob_startコールバック関数
void ob_implicit_flush ( [ int flag ] );自動フラッシュをオンまたはオフにする
bool ob_start ( [ callback output_callback ] , [ int chunk_size ] , [ bool erase ] );出力のバッファリングを有効にする
void overload ( [ string class_name ] );クラスのプロパティおよびメソッドに関してオーバーロードを可能にする
void ovrimos_close_all ();ovrimosへの接続を全て閉じる
void ovrimos_close ( int connection );ovrimosへの接続を閉じる
int ovrimos_commit ( int connection_id );トランザクションをコミットする
int ovrimos_connect ( string host , string db , string user , string password );指定したデータベースに接続する
int ovrimos_cursor ( int result_id );カーソルの名前を返す
int ovrimos_exec ( int connection_id , string query );SQL命令を実行する
boolean ovrimos_execute ( int result_id , array [parameters_array] );準備されたSQL命令を実行する
boolean ovrimos_fetch_into ( int result_id , array result_array , string [how] , int [rownumber] );結果からレコードを取得する
boolean ovrimos_fetch_row ( int result_id , int [how] , int [row_number] );結果からレコードを取得する
int ovrimos_field_len ( int result_id , int field_number );出力カラムの長さを返す
int ovrimos_field_name ( int result_id , int field_number );出力のカラム名を返す
int ovrimos_field_num ( int result_id , string field_name );出力カラムから(1から始まる)インデックスを返す
int ovrimos_field_type ( int result_id , int field_number );出力カラムの(数値)型を返す
int ovrimos_free_result ( int result_id );指定したresult_idを開放する
int ovrimos_longreadlen ( int result_id , int length );longデータ型から取得されるバイト数を指定する
int ovrimos_num_fields ( int result_id );カラム数を返す
int ovrimos_num_rows ( int result_id );update 命令により変更されたレコードの数を返す
int ovrimos_prepare ( int connection_id , string query );SQL命令を準備する
boolean ovrimos_result_all ( int result_id , string [format] );結果全体をHTMLテーブルとして出力する
int ovrimos_result ( int result_id , mixed field );出力カラムを取得する
int ovrimos_rollback ( int connection_id );トランザクションをロールバックする
bool pcntl_exec ( string path , [ array args ] , [ array envs ] );カレントのプロセス空間で指定したプログラムを実行する
int pcntl_fork ();現在実行中のプロセスをフォークする
bool pcntl_signal ( int signo , mixed handle );シグナルハンドラを設定する
int pcntl_waitpid ( int pid , int status , int options );待つかフォークした子プロセスのステータスを返す
int pcntl_wexitstatus ( int status );終了した子プロセスのリターンコードを返す
int pcntl_wifexited ( int status );ステータスコードが正常終了を表す場合に TRUE を返す
int pcntl_wifsignaled ( int status );ステータスコードがシグナルによる終了を表す場合に TRUE を返す
int pcntl_wifstopped ( int status );子プロセスが現在停止している場合、TRUE を返す
int pcntl_wstopsig ( int status );子プロセスを停止させたシグナルを返す
int pcntl_wtermsig ( int status );子プロセスの終了を生じたシグナルを返す
array preg_grep ( string pattern , array input );パターンにマッチする配列の要素を返す
int preg_match_all ( string pattern , string subject , array matches , [ int flags ] , [ int offset ] );グローバル正規表現検索を行う
mixed preg_match ( string pattern , string subject , [ array matches ] , [ int flags ] , [ int offset ] );正規表現検索を行う
string preg_quote ( string str , [ string delimiter ] );正規表現文字をクオートする
mixed preg_replace_callback ( mixed pattern , mixed callback , mixed subject , [ int limit ] );正規表現検索を行い、コールバック関数を使用して置換を行う
mixed preg_replace ( mixed pattern , mixed replacement , mixed subject , [ int limit ] );正規表現検索および置換を行う
array preg_split ( string pattern , string subject , [ int limit ] , [ int flags ] );正規表現で文字列を分割する
int pdf_add_bookmark ( int pdf object , string text , [ int parent ] , [ int open ] );ブックマークをカレントのページに追加する
int pdf_add_launchlink ( int pdf object , float llx , float lly , float urx , float ury , string filename );カレントのページに起動用注記を追加する
int pdf_add_locallink ( int pdf object , float llx , float lly , float urx , float ury , int page , string dest );カレントのページにリンク注記を追加
int pdf_add_note ( int pdf object , float llx , float lly , float urx , float ury , string contents , string title , string icon , int open );カレントのページに注記を追加する
int pdf_add_pdflink ( int pdf object , float llx , float lly , float urx , float ury , string filename , int page , string dest );カレントページにリンク注記を追加
int pdf_add_thumbnail ( int pdf object , int image );カレントのページにサムネールを追加する
int pdf_add_weblink ( int pdf object , float llx , float lly , float urx , float ury , string url );カレントのページにWebリンクを追加する
void pdf_arc ( resource pdf object , float x , float y , float r , float alpha , float beta );(反時計回りに)円弧を描く
void pdf_arcn ( resource pdf object , float x , float y , float r , float alpha , float beta );(時計回りに)円弧を描く
int pdf_attach_file ( int pdf object , float llx , float lly , float urx , float ury , string filename , string description , string author , string mimetype , string icon );カレントのページに添付ファイルを追加する
void pdf_begin_page ( int pdf object , float width , float height );新規ページを開始する
int pdf_begin_pattern ( int pdf object , float width , float height , float xstep , float ystep , int painttype );新規パターンを開始する
void pdf_begin_template ( int pdf object , float width , float height );新規テンプレートを開始する
void pdf_circle ( int pdf object , float x , float y , float r );円を描く
void pdf_clip ( int pdf object );カレントのパスに切り取る
void pdf_close_image ( int pdf object , int image );画像を閉じる
void pdf_close_pdi_page ( int pdf object , int pagehandle );ページハンドルを閉じる
void pdf_close_pdi ( int pdf object , int dochandle );PDFドキュメント入力(PDI)を閉じる
void pdf_close ( int pdf object );pdf ドキュメントを閉じる
void pdf_closepath_fill_stroke ( int pdf object );カレントのパスを閉じ、塗りつぶし、輪郭を描く
void pdf_closepath_stroke ( int pdf object );パスを閉じ、パスに沿って線を描く
void pdf_closepath ( int pdf object );パスを閉じる
void pdf_concat ( int pdf object , float a , float b , float c , float d , float e , float f );行列をCTMに追加
void pdf_continue_text ( int pdf object , string text );次の行にテキストを出力する
void pdf_curveto ( int pdf object , float x1 , float y1 , float x2 , float y2 , float x3 , float y3 );曲線を描く
void pdf_delete ( int pdf object );PDFオブジェクトを削除
void pdf_end_page ( int pdf object );ページを終了する
void pdf_end_pattern ( int pdf object );パターンを終了する
void pdf_end_template ( int pdf object );テンプレートを終了する
void pdf_endpath ( int pdf object );古い関数: カレントのパスを終了する
void pdf_fill_stroke ( int pdf object );カレントのパスを塗りつぶし、パスの輪郭を描く
void pdf_fill ( int pdf object );カレントのパスを塗りつぶす
void pdf_findfont ( int pdf object , string fontname , string encoding , int embed );後でpdf_setfontで使用するフォントを準備する
string pdf_get_buffer ( int pdf object );生成されたPDFデータを含むバッファを取得する
string pdf_get_image_height ( int pdf object , int image );古い関数: イメージの高さを返す
string pdf_get_image_width ( int pdf object , int image );古い関数: イメージの幅を返す
int pdf_get_majorversion ();PDFlibのメジャーバージョン番号を返す
int pdf_get_minorversion ();PDFlibのマイナーバージョン番号を返す
string pdf_get_parameter ( int pdf object , string key , [ float modifier ] );パラメータを得る
string pdf_get_pdi_parameter ( int pdf object , string key , int doc , int page , int index );PDF文字列パラメータを得る
string pdf_get_pdi_value ( int pdf object , string key , int doc , int page , int index );数値型のPDIパラメータを取得する
float pdf_get_value ( int pdf object , string key , float [modifier] );数値を得る
void pdf_initgraphics ( int pdf object );描画状態をリセットする
void pdf_lineto ( int pdf object , float x , float y );線を描く
void pdf_makespotcolor ( int pdf object , string spotname );スポット色を作成する
void pdf_moveto ( int pdf object , float x , float y );現在の位置を設定する
int pdf_new ( );新規PDFオブジェクトを作成する
int pdf_open_ccitt ( int pdf object , string filename , int width , int height , int BitReverse , int k , int Blackls1 );生のCCITTデータから新規イメージファイルをオープンする
int pdf_open_file ( int pdf object , [ string filename ] );新規PDFオブジェクトをオープンする
int pdf_open_image_file ( int PDF-document , string imagetype , string filename , [ string stringparam ] , [ string intparam ] );ファイルからイメージを読み込む
int pdf_open_image ( int PDF-document , string imagetype , string source , string data , long length , int width , int height , int components , int bpc , string params );イメージ読み込み関数
int pdf_open_memory_image ( int pdf object , int image );PHPのイメージ関数で作成されたイメージをオープンする
void pdf_open_pdi_page ( int pdf object , int dochandle , int pagenumber , string pagelabel );ページを準備する
